bin_index,bin_from,bin_to,interpolation,interval_type

1,0,0,0,1201
2,14.5,15.5,15,1201
3,15.5,16.5,16,1201
4,16.5,17.5,17,1201
5,17.5,18.5,18,1201
6,18.5,19.5,19,1201
7,19.5,20.5,20,1201
8,20.5,21.5,21,1201
9,21.5,22.5,22,1201
10,22.5,23.5,23,1201
11,23.5,24.5,24,1201
12,24.5,25.5,25,1201
13,25.5,26.5,26,1201
14,26.5,27.5,27,1201
15,27.5,28.5,28,1201
16,28.5,29.5,29,1201
17,29.5,30.5,30,1201
18,30.5,31.5,31,1201
19,31.5,32.5,32,1201
20,32.5,33.5,33,1201
21,33.5,34.5,34,1201
22,34.5,35.5,35,1201
23,35.5,36.5,36,1201
24,36.5,37.5,37,1201
25,37.5,38.5,38,1201
26,38.5,39.5,39,1201
27,39.5,40.5,40,1201
28,40.5,41.5,41,1201
29,41.5,42.5,42,1201
30,42.5,43.5,43,1201
31,43.5,44.5,44,1201
32,44.5,45.5,45,1201
33,45.5,46.5,46,1201
34,46.5,47.5,47,1201
35,47.5,48.5,48,1201
36,48.5,49.5,49,1201
37,49.5,50.5,50,1201
38,50.5,51.5,51,1201
39,51.5,52.5,52,1201
40,52.5,53.5,53,1201
41,53.5,54.5,54,1201
42,54.5,55.5,55,1201
43,55.5,56.5,56,1201
44,56.5,57.5,57,1201
45,57.5,58.5,58,1201
46,58.5,59.5,59,1201
47,59.5,60.5,60,1201
48,60.5,61.5,61,1201
49,61.5,62.5,62,1201
50,62.5,63.5,63,1201
51,63.5,64.5,64,1201
52,64.5,65.5,65,1201
53,65.5,66.5,66,1201
54,66.5,67.5,67,1201
55,67.5,68.5,68,1201
56,68.5,69.5,69,1201
57,69.5,70.5,70,1201
58,70.5,80.5,80,1201
59,80.5,90.5,90,1201
60,90.5,100.5,100,1201
61,100.5,110.5,110,1201
62,110.5,120.5,120,1201